,subject,age_group_x,roi,triplet,comparison,within_sim,across_sim,difference,trials,triplet_accuracy,avg_RT,avg_repetitions,age,sex,scanner
95,temple029,adolescent,sl-AC_age_hip,4,AC,0.0010447789061381,0.1365598069252183,-0.1355150280190802,8,1.0,8.740425,1.125,11.04,F,skyra
96,temple030,adolescent,sl-AB_age_gm,1,AB,0.1313724106655799,0.1922882193300399,-0.06091580866446,8,0.875,9.4777375,1.5,10.4,M,skyra
97,temple030,adolescent,sl-AB_age_gm,2,AB,0.3840773655410431,0.1812868995286571,0.202790466012386,8,0.625,8.9982875,1.125,10.4,M,skyra
98,temple030,adolescent,sl-AB_age_gm,3,AB,0.3462571616617021,0.2795183427822948,0.0667388188794073,8,0.375,8.813975,1.875,10.4,M,skyra
99,temple030,adolescent,sl-AB_age_gm,4,AB,0.2320330996450061,0.2030752810474214,0.0289578185975846,8,0.25,11.09095,1.625,10.4,M,skyra
100,temple030,adolescent,sl-AB_group_hip,1,AB,0.0260514519510747,-0.0323943646214567,0.0584458165725314,8,0.875,9.4777375,1.5,10.4,M,skyra
101,temple030,adolescent,sl-AB_group_hip,2,AB,-0.1062334046209841,-0.0712282690253055,-0.0350051355956785,8,0.625,8.9982875,1.125,10.4,M,skyra
102,temple030,adolescent,sl-AB_group_hip,3,AB,-0.142787923451132,0.0673425857898348,-0.2101305092409668,8,0.375,8.813975,1.875,10.4,M,skyra
103,temple030,adolescent,sl-AB_group_hip,4,AB,-0.6158949493936502,0.0477824728730221,-0.6636774222666723,8,0.25,11.09095,1.625,10.4,M,skyra
104,temple030,adolescent,sl-AC_age_hip,1,AC,-0.3327848654781579,-0.1757834000191198,-0.157001465459038,8,0.875,9.4777375,1.5,10.4,M,skyra
105,temple030,adolescent,sl-AC_age_hip,2,AC,-0.2774106260327969,-0.1001003729873864,-0.1773102530454105,8,0.625,8.9982875,1.125,10.4,M,skyra
106,temple030,adolescent,sl-AC_age_hip,3,AC,0.2416825294527637,-0.132232288154726,0.3739148176074897,8,0.375,8.813975,1.875,10.4,M,skyra
107,temple030,adolescent,sl-AC_age_hip,4,AC,-0.0594151566059246,0.0022543782693801,-0.0616695348753048,8,0.25,11.09095,1.625,10.4,M,skyra
108,temple032,adolescent,sl-AB_age_gm,1,AB,-0.0952794042044878,0.0205388898430552,-0.1158182940475431,8,1.0,7.680525,1.0,12.98,F,skyra
109,temple032,adolescent,sl-AB_age_gm,2,AB,0.0262425655852343,-0.013023735155345,0.0392663007405794,8,1.0,6.9244375,1.0,12.98,F,skyra
110,temple032,adolescent,sl-AB_age_gm,3,AB,0.0460729400167611,0.0486648402521714,-0.0025919002354103,8,1.0,6.36135,1.0,12.98,F,skyra
111,temple032,adolescent,sl-AB_age_gm,4,AB,0.4926429704088546,0.0882773973560821,0.4043655730527725,8,1.0,6.80635,1.0,12.98,F,skyra
112,temple032,adolescent,sl-AB_group_hip,1,AB,0.1091358845697661,-0.0358421424612295,0.1449780270309957,8,1.0,7.680525,1.0,12.98,F,skyra
113,temple032,adolescent,sl-AB_group_hip,2,AB,0.2524501723624591,-0.226373021418274,0.4788231937807332,8,1.0,6.9244375,1.0,12.98,F,skyra
114,temple032,adolescent,sl-AB_group_hip,3,AB,-0.0466480357382382,-0.0556239715630252,0.0089759358247869,8,1.0,6.36135,1.0,12.98,F,skyra
115,temple032,adolescent,sl-AB_group_hip,4,AB,0.1801685635118927,-0.1039519961253246,0.2841205596372174,8,1.0,6.80635,1.0,12.98,F,skyra
116,temple032,adolescent,sl-AC_age_hip,1,AC,0.2317103901631604,0.1213647273212252,0.1103456628419352,8,1.0,7.680525,1.0,12.98,F,skyra
117,temple032,adolescent,sl-AC_age_hip,2,AC,-0.0385480706867866,0.0217173693199228,-0.0602654400067095,8,1.0,6.9244375,1.0,12.98,F,skyra
118,temple032,adolescent,sl-AC_age_hip,3,AC,0.0195206724066883,0.055835787691565,-0.0363151152848766,8,1.0,6.36135,1.0,12.98,F,skyra
119,temple032,adolescent,sl-AC_age_hip,4,AC,-0.164604006565702,0.102796350753706,-0.2674003573194081,8,1.0,6.80635,1.0,12.98,F,skyra
120,temple033,adolescent,sl-AB_age_gm,1,AB,-0.1340803343930945,-0.0855245605531309,-0.0485557738399636,8,0.25,9.0621625,1.125,11.4,F,skyra
121,temple033,adolescent,sl-AB_age_gm,2,AB,0.173700750688117,0.0222874781792546,0.1514132725088623,8,0.375,7.4635375,1.0,11.4,F,skyra
122,temple033,adolescent,sl-AB_age_gm,3,AB,0.0700630613408847,-0.0747065830432384,0.1447696443841231,8,0.875,7.321825,1.0,11.4,F,skyra
123,temple033,adolescent,sl-AB_age_gm,4,AB,-0.141341584083402,0.0388316670530085,-0.1801732511364105,8,0.375,7.463075,1.0,11.4,F,skyra
124,temple033,adolescent,sl-AB_group_hip,1,AB,0.0015310286585548,-0.0937482026726826,0.0952792313312374,8,0.25,9.0621625,1.125,11.4,F,skyra
125,temple033,adolescent,sl-AB_group_hip,2,AB,0.1757499544951533,-0.0633575264147958,0.2391074809099491,8,0.375,7.4635375,1.0,11.4,F,skyra
126,temple033,adolescent,sl-AB_group_hip,3,AB,-0.0906809591792522,-0.061640298935524,-0.0290406602437281,8,0.875,7.321825,1.0,11.4,F,skyra
127,temple033,adolescent,sl-AB_group_hip,4,AB,0.026097773176087,-0.0484785179310369,0.074576291107124,8,0.375,7.463075,1.0,11.4,F,skyra
128,temple033,adolescent,sl-AC_age_hip,1,AC,-0.3978958338527853,-0.2028944853380055,-0.1950013485147798,8,0.25,9.0621625,1.125,11.4,F,skyra
129,temple033,adolescent,sl-AC_age_hip,2,AC,-0.3631353000123331,-0.2915418039634542,-0.0715934960488789,8,0.375,7.4635375,1.0,11.4,F,skyra
130,temple033,adolescent,sl-AC_age_hip,3,AC,0.0449468114735323,-0.0450997040289456,0.0900465155024779,8,0.875,7.321825,1.0,11.4,F,skyra
131,temple033,adolescent,sl-AC_age_hip,4,AC,-0.1551957009460016,-0.1591292501507468,0.0039335492047452,8,0.375,7.463075,1.0,11.4,F,skyra
132,temple034,child,sl-AB_age_gm,1,AB,-0.1470097904556102,0.1165945463319231,-0.2636043367875334,4,0.25,8.516075,1.0,9.81,F,skyra
133,temple034,child,sl-AB_age_gm,2,AB,-0.1968621674406483,0.1039203448371614,-0.3007825122778097,5,1.0,8.53896,1.0,9.81,F,skyra
134,temple034,child,sl-AB_age_gm,3,AB,-0.0649441371321757,0.103868149034123,-0.1688122861662988,2,1.0,8.5705,1.0,9.81,F,skyra
135,temple034,child,sl-AB_age_gm,4,AB,0.4492089465245115,0.1579630720740546,0.2912458744504569,5,0.8,9.1445,1.0,9.81,F,skyra
136,temple034,child,sl-AB_group_hip,1,AB,-0.0723921880498662,-0.180511000194951,0.1081188121450847,4,0.25,8.516075,1.0,9.81,F,skyra
137,temple034,child,sl-AB_group_hip,2,AB,0.0485879868911035,-0.2497099760100448,0.2982979629011484,5,1.0,8.53896,1.0,9.81,F,skyra
138,temple034,child,sl-AB_group_hip,3,AB,-0.0775057100817496,-0.2157047363862954,0.1381990263045458,2,1.0,8.5705,1.0,9.81,F,skyra
139,temple034,child,sl-AB_group_hip,4,AB,-0.1693092554890763,-0.2199620432938634,0.050652787804787,5,0.8,9.1445,1.0,9.81,F,skyra
140,temple034,child,sl-AC_age_hip,1,AC,-0.3245482081039874,0.1289049047875924,-0.4534531128915798,4,0.25,8.516075,1.0,9.81,F,skyra
141,temple034,child,sl-AC_age_hip,2,AC,-0.1774980737947041,0.1007918550136391,-0.2782899288083433,5,1.0,8.53896,1.0,9.81,F,skyra
142,temple034,child,sl-AC_age_hip,3,AC,0.2698373613821894,0.1608349429054093,0.10900241847678,2,1.0,8.5705,1.0,9.81,F,skyra
143,temple034,child,sl-AC_age_hip,4,AC,-0.0189115037468566,0.2237117597297823,-0.2426232634766389,5,0.8,9.1445,1.0,9.81,F,skyra
144,temple035,adolescent,sl-AB_age_gm,1,AB,-0.0054641907227059,0.0862492260555363,-0.0917134167782423,8,0.375,8.1038625,1.0,11.27,F,skyra
145,temple035,adolescent,sl-AB_age_gm,2,AB,0.0812794720269386,0.1018433158997133,-0.0205638438727746,8,0.125,7.96585,1.25,11.27,F,skyra
146,temple035,adolescent,sl-AB_age_gm,3,AB,0.4358409420307218,0.2327062495297921,0.2031346925009297,8,0.375,7.8780625,1.0,11.27,F,skyra
147,temple035,adolescent,sl-AB_age_gm,4,AB,-0.0844581303197104,0.120498630954781,-0.2049567612744914,8,0.75,8.7277625,1.0,11.27,F,skyra
148,temple035,adolescent,sl-AB_group_hip,1,AB,0.5807424203222739,0.0062808284445196,0.5744615918777543,8,0.375,8.1038625,1.0,11.27,F,skyra
149,temple035,adolescent,sl-AB_group_hip,2,AB,0.1622855649757424,-0.0039079644300699,0.1661935294058124,8,0.125,7.96585,1.25,11.27,F,skyra
150,temple035,adolescent,sl-AB_group_hip,3,AB,-0.07862168310595,-0.0706812797483978,-0.0079404033575521,8,0.375,7.8780625,1.0,11.27,F,skyra
151,temple035,adolescent,sl-AB_group_hip,4,AB,-0.0390864004090489,-0.055399961110972,0.016313560701923,8,0.75,8.7277625,1.0,11.27,F,skyra
