,subject,triplet,trials,triplet_accuracy,avg_RT,avg_repetitions,age,accuracy,age_demeaned,acc_demeaned,sex,scanner,age_group
143,temple072,4,8,0.875,9.3300375,1.125,19.53,0.65625,5.15,-0.11181,F,prisma,adults
144,temple073,1,8,1.0,9.60495,1.25,32.17,1.0,17.79,0.23194,M,prisma,adults
145,temple073,2,8,1.0,9.7205875,1.0,32.17,1.0,17.79,0.23194,M,prisma,adults
146,temple073,3,8,1.0,9.5921,1.0,32.17,1.0,17.79,0.23194,M,prisma,adults
147,temple073,4,8,1.0,9.5993375,1.0,32.17,1.0,17.79,0.23194,M,prisma,adults
148,temple074,1,8,1.0,8.76025,1.0,20.21,1.0,5.83,0.23194,F,prisma,adults
149,temple074,2,8,1.0,8.5115125,1.0,20.21,1.0,5.83,0.23194,F,prisma,adults
150,temple074,3,8,1.0,9.24125,1.125,20.21,1.0,5.83,0.23194,F,prisma,adults
151,temple074,4,8,1.0,8.2290625,1.0,20.21,1.0,5.83,0.23194,F,prisma,adults
152,temple075,1,8,1.0,9.9730625,1.125,20.37,0.9375,5.99,0.16944,M,prisma,adults
153,temple075,2,8,0.75,10.1717,1.375,20.37,0.9375,5.99,0.16944,M,prisma,adults
154,temple075,3,8,1.0,9.9526625,1.0,20.37,0.9375,5.99,0.16944,M,prisma,adults
155,temple075,4,8,1.0,10.076825,1.125,20.37,0.9375,5.99,0.16944,M,prisma,adults
156,temple076,1,8,1.0,9.7057375,1.0,21.25,1.0,6.87,0.23194,M,prisma,adults
157,temple076,2,8,1.0,9.62385,1.0,21.25,1.0,6.87,0.23194,M,prisma,adults
158,temple076,3,8,1.0,9.857975,1.25,21.25,1.0,6.87,0.23194,M,prisma,adults
159,temple076,4,8,1.0,9.5242875,1.25,21.25,1.0,6.87,0.23194,M,prisma,adults
160,temple078,1,8,1.0,9.7301,1.125,7.79,0.875,-6.59,0.10694,F,prisma,7-9 years
161,temple078,2,8,1.0,9.3920625,1.25,7.79,0.875,-6.59,0.10694,F,prisma,7-9 years
162,temple078,3,8,0.875,9.4581375,1.0,7.79,0.875,-6.59,0.10694,F,prisma,7-9 years
163,temple078,4,8,0.625,10.5604375,1.0,7.79,0.875,-6.59,0.10694,F,prisma,7-9 years
164,temple079,1,8,1.0,5.178075,1.0,10.79,1.0,-3.59,0.23194,M,prisma,10-12 years
165,temple079,2,8,1.0,6.6689625,1.125,10.79,1.0,-3.59,0.23194,M,prisma,10-12 years
166,temple079,3,8,1.0,6.7284749999999995,1.375,10.79,1.0,-3.59,0.23194,M,prisma,10-12 years
167,temple079,4,8,1.0,6.4156125,1.0,10.79,1.0,-3.59,0.23194,M,prisma,10-12 years
168,temple082,1,8,0.5,9.880775,1.5,11.37,0.4375,-3.01,-0.33056,M,prisma,10-12 years
169,temple082,2,8,0.75,10.1142375,1.25,11.37,0.4375,-3.01,-0.33056,M,prisma,10-12 years
170,temple082,3,8,0.25,9.881375,1.375,11.37,0.4375,-3.01,-0.33056,M,prisma,10-12 years
171,temple082,4,8,0.25,11.202675,1.625,11.37,0.4375,-3.01,-0.33056,M,prisma,10-12 years
172,temple083,1,8,1.0,8.6368875,1.0,12.89,1.0,-1.49,0.23194,M,prisma,10-12 years
173,temple083,2,8,1.0,7.745375,1.125,12.89,1.0,-1.49,0.23194,M,prisma,10-12 years
174,temple083,3,8,1.0,7.8150125,1.0,12.89,1.0,-1.49,0.23194,M,prisma,10-12 years
175,temple083,4,8,1.0,7.8224,1.125,12.89,1.0,-1.49,0.23194,M,prisma,10-12 years
176,temple084,1,8,0.75,9.5547125,1.0,8.77,0.4375,-5.61,-0.33056,F,prisma,7-9 years
177,temple084,2,8,0.5,9.5167375,1.0,8.77,0.4375,-5.61,-0.33056,F,prisma,7-9 years
178,temple084,3,8,0.125,10.792675,1.0,8.77,0.4375,-5.61,-0.33056,F,prisma,7-9 years
179,temple084,4,8,0.375,11.571575,1.25,8.77,0.4375,-5.61,-0.33056,F,prisma,7-9 years
180,temple085,1,8,0.125,10.151175,1.25,11.46,0.34375,-2.92,-0.42431,F,prisma,10-12 years
181,temple085,2,8,0.5,9.6142875,1.125,11.46,0.34375,-2.92,-0.42431,F,prisma,10-12 years
182,temple085,3,8,0.25,10.5292125,1.25,11.46,0.34375,-2.92,-0.42431,F,prisma,10-12 years
183,temple085,4,8,0.5,9.9298875,1.25,11.46,0.34375,-2.92,-0.42431,F,prisma,10-12 years
184,temple087,1,8,1.0,8.1770125,1.0,23.23,0.9375,8.85,0.16944,F,prisma,adults
185,temple087,2,8,0.875,9.022025,1.0,23.23,0.9375,8.85,0.16944,F,prisma,adults
186,temple087,3,8,1.0,8.2282,1.0,23.23,0.9375,8.85,0.16944,F,prisma,adults
187,temple087,4,8,0.875,8.088962500000001,1.0,23.23,0.9375,8.85,0.16944,F,prisma,adults
188,temple088,1,8,1.0,10.09015,1.0,21.85,1.0,7.47,0.23194,F,prisma,adults
189,temple088,2,8,1.0,10.2154375,1.0,21.85,1.0,7.47,0.23194,F,prisma,adults
190,temple088,3,8,1.0,11.4059125,1.0,21.85,1.0,7.47,0.23194,F,prisma,adults
191,temple088,4,8,1.0,10.5091125,1.0,21.85,1.0,7.47,0.23194,F,prisma,adults
192,temple089,1,8,1.0,7.8222125,1.0,19.34,1.0,4.96,0.23194,F,prisma,adults
193,temple089,2,8,1.0,7.347,1.0,19.34,1.0,4.96,0.23194,F,prisma,adults
194,temple089,3,8,1.0,7.9465375,1.0,19.34,1.0,4.96,0.23194,F,prisma,adults
195,temple089,4,8,1.0,7.8557625,1.0,19.34,1.0,4.96,0.23194,F,prisma,adults
196,temple090,1,8,1.0,7.7792,1.0,12.52,1.0,-1.86,0.23194,F,prisma,10-12 years
197,temple090,2,8,1.0,7.7081875,1.0,12.52,1.0,-1.86,0.23194,F,prisma,10-12 years
198,temple090,3,8,1.0,7.6151375,1.0,12.52,1.0,-1.86,0.23194,F,prisma,10-12 years
199,temple090,4,8,1.0,7.837675,1.0,12.52,1.0,-1.86,0.23194,F,prisma,10-12 years
200,temple091,1,8,1.0,8.262125,1.375,11.28,0.9375,-3.1,0.16944,F,prisma,10-12 years
201,temple091,2,8,0.875,7.756975000000001,1.125,11.28,0.9375,-3.1,0.16944,F,prisma,10-12 years
202,temple091,3,8,1.0,8.09695,1.0,11.28,0.9375,-3.1,0.16944,F,prisma,10-12 years
203,temple091,4,8,0.875,8.5084625,1.0,11.28,0.9375,-3.1,0.16944,F,prisma,10-12 years
204,temple092,1,8,0.125,10.5333,1.375,8.87,0.375,-5.51,-0.39306,F,prisma,7-9 years
205,temple092,2,8,0.375,11.6240375,1.0,8.87,0.375,-5.51,-0.39306,F,prisma,7-9 years
206,temple092,3,8,0.5,11.7215875,1.25,8.87,0.375,-5.51,-0.39306,F,prisma,7-9 years
207,temple092,4,8,0.5,12.5633125,1.125,8.87,0.375,-5.51,-0.39306,F,prisma,7-9 years
208,temple093,1,8,0.875,6.071124999999999,1.0,10.28,0.90625,-4.1,0.13819,M,prisma,10-12 years
209,temple093,2,8,0.875,8.385575,1.0,10.28,0.90625,-4.1,0.13819,M,prisma,10-12 years
210,temple093,3,8,1.0,8.425012500000001,1.125,10.28,0.90625,-4.1,0.13819,M,prisma,10-12 years
211,temple093,4,8,0.875,6.5395,1.125,10.28,0.90625,-4.1,0.13819,M,prisma,10-12 years
212,temple094,1,8,1.0,9.225175,1.125,8.38,1.0,-6.0,0.23194,F,prisma,7-9 years
213,temple094,2,8,1.0,10.6877375,1.375,8.38,1.0,-6.0,0.23194,F,prisma,7-9 years
214,temple094,3,8,1.0,9.8224875,1.375,8.38,1.0,-6.0,0.23194,F,prisma,7-9 years
215,temple094,4,8,1.0,9.8328625,1.375,8.38,1.0,-6.0,0.23194,F,prisma,7-9 years
216,temple095,1,8,0.875,9.1079875,1.0,8.04,0.6875,-6.34,-0.08056,M,prisma,7-9 years
217,temple095,2,8,0.625,9.5339125,1.0,8.04,0.6875,-6.34,-0.08056,M,prisma,7-9 years
218,temple095,3,8,0.5,8.9696375,1.0,8.04,0.6875,-6.34,-0.08056,M,prisma,7-9 years
219,temple095,4,8,0.75,10.1121125,1.125,8.04,0.6875,-6.34,-0.08056,M,prisma,7-9 years
220,temple096,1,8,0.75,12.2249125,1.0,11.4,0.71875,-2.98,-0.04931,M,prisma,10-12 years
221,temple096,2,8,0.875,10.5492625,1.0,11.4,0.71875,-2.98,-0.04931,M,prisma,10-12 years
222,temple096,3,8,0.25,10.5675375,1.125,11.4,0.71875,-2.98,-0.04931,M,prisma,10-12 years
223,temple096,4,8,1.0,9.2339125,1.0,11.4,0.71875,-2.98,-0.04931,M,prisma,10-12 years
224,temple097,1,8,0.375,12.2119125,1.25,7.8,0.65625,-6.58,-0.11181,F,prisma,7-9 years
225,temple097,2,8,0.875,10.26435,1.25,7.8,0.65625,-6.58,-0.11181,F,prisma,7-9 years
226,temple097,3,8,0.625,9.6588625,1.625,7.8,0.65625,-6.58,-0.11181,F,prisma,7-9 years
227,temple097,4,8,0.75,9.5806125,1.625,7.8,0.65625,-6.58,-0.11181,F,prisma,7-9 years
228,temple098,1,8,0.625,8.13925,1.25,8.44,0.65625,-5.94,-0.11181,M,prisma,7-9 years
229,temple098,2,8,0.625,9.08505,1.375,8.44,0.65625,-5.94,-0.11181,M,prisma,7-9 years
